target_id,variant_label,repetition_index,guesser_model,judge_model,guesser_reasoning_effort,judge_reasoning_effort,guesser_reasoning,judge_reasoning,run_id,mode,target_name,solved,turns_used,false_positive,final_question,final_question_correct,error,error_type,guesser_w_effort
place_busan,gemini-3.1-flash-lite-preview,3,gemini-3.1-flash-lite-preview,gpt-5.4-mini,,low,{'thinking_level': 'low'},{'reasoning_effort': 'low'},run-0003__full-game-test__gemini__gemini-3.1-flash-lite-preview,full-game-test,Busan,True,15,,Is the city Busan?,True,,,gemini-3.1-flash-lite-preview
place_busan,gpt-5.4,3,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0003__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,17,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,gpt-5.4-mini,3,gpt-5.4-mini,gpt-5.4-mini,high,low,{'reasoning_effort': 'high'},{'reasoning_effort': 'low'},run-0003__full-game-test__openai__gpt-5.4-mini,full-game-test,Busan,True,20,,Is the city Busan?,True,,,gpt-5.4-mini_high
place_busan,claude-opus-4-6,4,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0004__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,14,,Is the city Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,4,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0004__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,25,,Is this character Gandalf?,True,,,claude-opus-4-6_budget_2048
place_busan,gemini-3.1-flash-lite-preview,4,gemini-3.1-flash-lite-preview,gpt-5.4-mini,,low,{'thinking_level': 'low'},{'reasoning_effort': 'low'},run-0004__full-game-test__gemini__gemini-3.1-flash-lite-preview,full-game-test,Busan,True,17,,Is the target the city of Busan?,True,,,gemini-3.1-flash-lite-preview
place_busan,gpt-5.4,4,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0004__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,18,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,gpt-5.4-mini,4,gpt-5.4-mini,gpt-5.4-mini,high,low,{'reasoning_effort': 'high'},{'reasoning_effort': 'low'},run-0004__full-game-test__openai__gpt-5.4-mini,full-game-test,Busan,True,15,,Is it Busan?,True,,,gpt-5.4-mini_high
place_busan,claude-opus-4-6,5,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0005__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,13,,Is the hidden target Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,5,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0005__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,17,,Is the character Gandalf?,True,,,claude-opus-4-6_budget_2048
place_busan,gemini-3.1-flash-lite-preview,5,gemini-3.1-flash-lite-preview,gpt-5.4-mini,,low,{'thinking_level': 'low'},{'reasoning_effort': 'low'},run-0005__full-game-test__gemini__gemini-3.1-flash-lite-preview,full-game-test,Busan,True,17,,Is the target Busan?,True,,,gemini-3.1-flash-lite-preview
place_busan,gpt-5.4-mini,5,gpt-5.4-mini,gpt-5.4-mini,high,low,{'reasoning_effort': 'high'},{'reasoning_effort': 'low'},run-0005__full-game-test__openai__gpt-5.4-mini,full-game-test,Busan,True,13,,Is it Busan?,True,,,gpt-5.4-mini_high
place_busan,gpt-5.4,5,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0005__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,16,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,gpt-5.4,5,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0005__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,18,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,claude-opus-4-6,6,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0006__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,13,,Is the hidden target Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,6,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0006__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,25,,Is the character Gandalf?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,6,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0006__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,23,,Is the character Gandalf?,True,,,claude-opus-4-6_budget_2048
place_busan,gemini-3.1-flash-lite-preview,6,gemini-3.1-flash-lite-preview,gpt-5.4-mini,,low,{'thinking_level': 'low'},{'reasoning_effort': 'low'},run-0006__full-game-test__gemini__gemini-3.1-flash-lite-preview,full-game-test,Busan,True,20,,Is the target city Busan?,True,,,gemini-3.1-flash-lite-preview
place_busan,gpt-5.4,6,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0006__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,17,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,gpt-5.4-mini,6,gpt-5.4-mini,gpt-5.4-mini,high,low,{'reasoning_effort': 'high'},{'reasoning_effort': 'low'},run-0006__full-game-test__openai__gpt-5.4-mini,full-game-test,Busan,True,14,,Is the city Busan?,True,,,gpt-5.4-mini_high
place_busan,claude-opus-4-6,7,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0007__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,14,,Is the hidden target Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,7,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0007__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,16,,Is this character Gandalf?,True,,,claude-opus-4-6_budget_2048
place_busan,gemini-3.1-flash-lite-preview,7,gemini-3.1-flash-lite-preview,gpt-5.4-mini,,low,{'thinking_level': 'low'},{'reasoning_effort': 'low'},run-0007__full-game-test__gemini__gemini-3.1-flash-lite-preview,full-game-test,Busan,True,29,,Is the target the city of Busan?,True,,,gemini-3.1-flash-lite-preview
place_busan,gpt-5.4,7,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0007__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,12,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,gpt-5.4-mini,7,gpt-5.4-mini,gpt-5.4-mini,high,low,{'reasoning_effort': 'high'},{'reasoning_effort': 'low'},run-0007__full-game-test__openai__gpt-5.4-mini,full-game-test,Busan,True,20,,Is the city Busan?,True,,,gpt-5.4-mini_high
place_busan,claude-opus-4-6,8,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0008__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,12,,Is the hidden target Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,8,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0008__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,21,,Is the character Gandalf?,True,,,claude-opus-4-6_budget_2048
place_busan,gemini-3.1-flash-lite-preview,8,gemini-3.1-flash-lite-preview,gpt-5.4-mini,,low,{'thinking_level': 'low'},{'reasoning_effort': 'low'},run-0008__full-game-test__gemini__gemini-3.1-flash-lite-preview,full-game-test,Busan,True,15,,Is the target Busan?,True,,,gemini-3.1-flash-lite-preview
place_busan,gpt-5.4,8,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0008__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,16,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,gpt-5.4-mini,8,gpt-5.4-mini,gpt-5.4-mini,high,low,{'reasoning_effort': 'high'},{'reasoning_effort': 'low'},run-0008__full-game-test__openai__gpt-5.4-mini,full-game-test,Busan,True,16,,Is the city Busan?,True,,,gpt-5.4-mini_high
place_busan,claude-opus-4-6,9,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0009__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,13,,Is the hidden target Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,9,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0009__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,19,,Is the fictional character Gandalf?,True,,,claude-opus-4-6_budget_2048
place_busan,gemini-3.1-flash-lite-preview,9,gemini-3.1-flash-lite-preview,gpt-5.4-mini,,low,{'thinking_level': 'low'},{'reasoning_effort': 'low'},run-0009__full-game-test__gemini__gemini-3.1-flash-lite-preview,full-game-test,Busan,True,15,,Is the target Busan?,True,,,gemini-3.1-flash-lite-preview
place_busan,gpt-5.4,9,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0009__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,14,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,gpt-5.4-mini,9,gpt-5.4-mini,gpt-5.4-mini,high,low,{'reasoning_effort': 'high'},{'reasoning_effort': 'low'},run-0009__full-game-test__openai__gpt-5.4-mini,full-game-test,Busan,True,15,,Is the city Busan?,True,,,gpt-5.4-mini_high
place_busan,claude-opus-4-6,10,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0010__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,14,,Is the hidden target Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,10,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0010__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,27,,Is the hidden target Gandalf?,True,,,claude-opus-4-6_budget_2048
place_busan,gemini-3.1-flash-lite-preview,10,gemini-3.1-flash-lite-preview,gpt-5.4-mini,,low,{'thinking_level': 'low'},{'reasoning_effort': 'low'},run-0010__full-game-test__gemini__gemini-3.1-flash-lite-preview,full-game-test,Busan,True,16,,Is the target Busan?,True,,,gemini-3.1-flash-lite-preview
place_busan,gpt-5.4,10,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0010__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,17,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,gpt-5.4-mini,10,gpt-5.4-mini,gpt-5.4-mini,high,low,{'reasoning_effort': 'high'},{'reasoning_effort': 'low'},run-0010__full-game-test__openai__gpt-5.4-mini,full-game-test,Busan,True,18,,Is the city Busan?,True,,,gpt-5.4-mini_high
place_busan,claude-opus-4-6,11,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0011__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,14,,Is the hidden target Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,11,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0011__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,21,,Is the character Gandalf?,True,,,claude-opus-4-6_budget_2048
place_busan,gemini-3.1-flash-lite-preview,11,gemini-3.1-flash-lite-preview,gpt-5.4-mini,,low,{'thinking_level': 'low'},{'reasoning_effort': 'low'},run-0011__full-game-test__gemini__gemini-3.1-flash-lite-preview,full-game-test,Busan,True,15,,Is the hidden target Busan?,True,,,gemini-3.1-flash-lite-preview
place_busan,gpt-5.4,11,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0011__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,12,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,gpt-5.4-mini,11,gpt-5.4-mini,gpt-5.4-mini,high,low,{'reasoning_effort': 'high'},{'reasoning_effort': 'low'},run-0011__full-game-test__openai__gpt-5.4-mini,full-game-test,Busan,True,14,,Is the city Busan?,True,,,gpt-5.4-mini_high
place_busan,claude-opus-4-6,12,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0012__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,13,,Is the city Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,12,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0012__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,17,,Is this character Gandalf?,True,,,claude-opus-4-6_budget_2048
place_busan,gemini-3.1-flash-lite-preview,12,gemini-3.1-flash-lite-preview,gpt-5.4-mini,,low,{'thinking_level': 'low'},{'reasoning_effort': 'low'},run-0012__full-game-test__gemini__gemini-3.1-flash-lite-preview,full-game-test,Busan,True,13,,Is the city Busan?,True,,,gemini-3.1-flash-lite-preview
place_busan,gpt-5.4,12,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0012__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,12,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,gpt-5.4-mini,12,gpt-5.4-mini,gpt-5.4-mini,high,low,{'reasoning_effort': 'high'},{'reasoning_effort': 'low'},run-0012__full-game-test__openai__gpt-5.4-mini,full-game-test,Busan,True,16,,Is the city Busan?,True,,,gpt-5.4-mini_high
place_busan,claude-opus-4-6,13,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0013__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,13,,Is the hidden target Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,13,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0013__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,19,,Is this character Gandalf?,True,,,claude-opus-4-6_budget_2048
place_busan,gemini-3.1-flash-lite-preview,13,gemini-3.1-flash-lite-preview,gpt-5.4-mini,,low,{'thinking_level': 'low'},{'reasoning_effort': 'low'},run-0013__full-game-test__gemini__gemini-3.1-flash-lite-preview,full-game-test,Busan,True,16,,Is the city Busan?,True,,,gemini-3.1-flash-lite-preview
place_busan,gpt-5.4,13,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0013__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,13,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,gpt-5.4-mini,13,gpt-5.4-mini,gpt-5.4-mini,high,low,{'reasoning_effort': 'high'},{'reasoning_effort': 'low'},run-0013__full-game-test__openai__gpt-5.4-mini,full-game-test,Busan,True,15,,Is the hidden target Busan?,True,,,gpt-5.4-mini_high
place_busan,claude-opus-4-6,14,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0014__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,13,,Is the hidden target Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,14,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0014__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,23,,Is this fictional character Gandalf?,True,,,claude-opus-4-6_budget_2048
place_busan,gemini-3.1-flash-lite-preview,14,gemini-3.1-flash-lite-preview,gpt-5.4-mini,,low,{'thinking_level': 'low'},{'reasoning_effort': 'low'},run-0014__full-game-test__gemini__gemini-3.1-flash-lite-preview,full-game-test,Busan,True,17,,Is the city Busan?,True,,,gemini-3.1-flash-lite-preview
place_busan,gpt-5.4,14,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0014__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,12,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,gpt-5.4-mini,14,gpt-5.4-mini,gpt-5.4-mini,high,low,{'reasoning_effort': 'high'},{'reasoning_effort': 'low'},run-0014__full-game-test__openai__gpt-5.4-mini,full-game-test,Busan,True,15,,Is the hidden target Busan?,True,,,gpt-5.4-mini_high
place_busan,claude-opus-4-6,15,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0015__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,14,,Is the hidden target Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,15,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0015__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,27,,Is this character Gandalf?,True,,,claude-opus-4-6_budget_2048
place_busan,gemini-3.1-flash-lite-preview,15,gemini-3.1-flash-lite-preview,gpt-5.4-mini,,low,{'thinking_level': 'low'},{'reasoning_effort': 'low'},run-0015__full-game-test__gemini__gemini-3.1-flash-lite-preview,full-game-test,Busan,True,15,,Is the target Busan?,True,,,gemini-3.1-flash-lite-preview
place_busan,gpt-5.4,15,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0015__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,13,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,gpt-5.4-mini,15,gpt-5.4-mini,gpt-5.4-mini,high,low,{'reasoning_effort': 'high'},{'reasoning_effort': 'low'},run-0015__full-game-test__openai__gpt-5.4-mini,full-game-test,Busan,True,15,,Is the city Busan?,True,,,gpt-5.4-mini_high
place_busan,claude-opus-4-6,16,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0016__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,13,,Is the hidden target Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,16,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0016__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,15,,Is this character Gandalf?,True,,,claude-opus-4-6_budget_2048
place_busan,gemini-3.1-flash-lite-preview,16,gemini-3.1-flash-lite-preview,gpt-5.4-mini,,low,{'thinking_level': 'low'},{'reasoning_effort': 'low'},run-0016__full-game-test__gemini__gemini-3.1-flash-lite-preview,full-game-test,Busan,True,19,,Is the target Busan?,True,,,gemini-3.1-flash-lite-preview
place_busan,gpt-5.4,16,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0016__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,20,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,gpt-5.4-mini,16,gpt-5.4-mini,gpt-5.4-mini,high,low,{'reasoning_effort': 'high'},{'reasoning_effort': 'low'},run-0016__full-game-test__openai__gpt-5.4-mini,full-game-test,Busan,True,12,,Is the city Busan?,True,,,gpt-5.4-mini_high
place_busan,claude-opus-4-6,17,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0017__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,13,,Is the hidden target Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,17,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0017__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,17,,Is the character Gandalf?,True,,,claude-opus-4-6_budget_2048
place_busan,gemini-3.1-flash-lite-preview,17,gemini-3.1-flash-lite-preview,gpt-5.4-mini,,low,{'thinking_level': 'low'},{'reasoning_effort': 'low'},run-0017__full-game-test__gemini__gemini-3.1-flash-lite-preview,full-game-test,Busan,True,16,,Is the target Busan?,True,,,gemini-3.1-flash-lite-preview
place_busan,gpt-5.4,17,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0017__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,14,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,gpt-5.4-mini,17,gpt-5.4-mini,gpt-5.4-mini,high,low,{'reasoning_effort': 'high'},{'reasoning_effort': 'low'},run-0017__full-game-test__openai__gpt-5.4-mini,full-game-test,Busan,True,16,,Is the city Busan?,True,,,gpt-5.4-mini_high
place_busan,claude-opus-4-6,18,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0018__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,15,,Is the hidden target Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,18,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0018__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,23,,Is the hidden target Gandalf?,True,,,claude-opus-4-6_budget_2048
place_busan,gemini-3.1-flash-lite-preview,18,gemini-3.1-flash-lite-preview,gpt-5.4-mini,,low,{'thinking_level': 'low'},{'reasoning_effort': 'low'},run-0018__full-game-test__gemini__gemini-3.1-flash-lite-preview,full-game-test,Busan,True,16,,Is the city Busan?,True,,,gemini-3.1-flash-lite-preview
place_busan,gpt-5.4,18,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0018__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,15,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,gpt-5.4-mini,18,gpt-5.4-mini,gpt-5.4-mini,high,low,{'reasoning_effort': 'high'},{'reasoning_effort': 'low'},run-0018__full-game-test__openai__gpt-5.4-mini,full-game-test,Busan,True,16,,Is the city Busan?,True,,,gpt-5.4-mini_high
place_busan,claude-opus-4-6,19,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0019__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,14,,Is the hidden target Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,19,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0019__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,22,,Is the character Gandalf?,True,,,claude-opus-4-6_budget_2048
